Calendar_Year,ACARA_SML_ ID,Location_AGE_ID,School_AGE_ID,School_Name,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Rolled_Reporting_Description,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English-Yes_(%),Language_Background_Other_Than_English-No_(%),Language_Background_Other_Than_English-Not_Stated_(%),ratio
2022,45958,40749,749,Ave Maria College,Aberfeldie,VIC,3040,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1069,75,9,29,38,23,69,65.3,34,25.7,815,815,0,815,0,9,91,0,11.8115942
2022,50267,69044,29044,Albert Park College,Albert Park,VIC,3206,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1124,90,6,14,28,53,135,126,85,50.9,1559,740,819,1559,0,34,66,1,11.54814815
2022,45964,56965,16965,Mount St Joseph Girls' College,Altona,VIC,3018,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1085,80,12,22,31,36,84,80.4,39,35.2,1153,1153,0,1153,0,31,69,0,13.72619048
2022,45979,41221,1221,Emmanuel College,Altona North,VIC,3025,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1066,75,12,28,34,26,176,167.7,72,58.3,2271,699,1572,2271,0,38,62,0,12.90340909
2022,45518,46191,6191,Ashwood High School,Ashwood,VIC,3147,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1087,81,12,20,30,37,57,51.5,27,22.9,715,319,396,715,1,39,60,1,12.54385965
2022,45351,48243,8243,Balwyn High School,Balwyn North,VIC,3104,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1142,94,3,9,30,58,196,172,50,37.3,2183,952,1231,2180.3,0,74,26,1,11.1377551
2022,45352,48992,8992,Bayswater Secondary College,Bayswater,VIC,3153,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,952,26,51,27,17,5,23,21.2,10,7.8,174,72,102,174,4,7,92,1,7.565217391
2022,40621,54578,14578,St Francis Xavier College,Beaconsfield,VIC,3807,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1042,66,18,33,32,17,293,272.3,199,174.4,3278,1589,1689,3278,0,30,70,0,11.18771331
2022,52592,85307,85306,Beaumaris Secondary College,Beaumaris,VIC,3193,Government,Secondary,School Single Entity,Individual Reporting,07-Nov,Major Cities,1110,87,5,19,32,44,76,70.5,23,17.3,836,348,488,835.5,0,15,85,1,11
2022,45970,56964,16964,Mater Christi College,Belgrave,VIC,3160,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1085,80,8,24,36,31,65,53.7,27,22.4,684,684,0,683.9,1,14,86,0,10.52307692
2022,45868,40899,899,Our Lady of the Sacred Heart College,Bentleigh,VIC,3204,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1097,83,5,20,39,37,65,60.7,34,24.6,728,728,0,728,0,24,76,0,11.2
2022,45338,54988,14988,Bentleigh Secondary College,Bentleigh East,VIC,3165,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1075,77,12,27,31,30,95,83.1,25,20,931,412,519,928.9,1,32,67,0,9.8
2022,45356,51847,11847,Berwick Secondary College,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1021,56,25,35,27,13,147,131.8,62,45.2,1707,817,890,1706.5,1,18,81,1,11.6122449
