Calendar_Year,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments_(%),Indigenous_Enrolments,Language_Background_Other_Than_English_Yes_(%),Language_Background_Other_Than_English_No_(%),Language_Background_Other_Than_English_Not Stated_(%)
2022,Aberfeldie,VIC,3040,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1069,75,9,29,38,23,69,65.3,34,25.7,815,815,0,0,0,9,91,0
2022,Albert Park,VIC,3206,Government,Secondary,School Head Campus,07-Dec,Major Cities,1124,90,6,14,28,53,135,126,85,50.9,1559,740,819,0,0,34,66,1
2022,Altona,VIC,3018,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1085,80,12,22,31,36,84,80.4,39,35.2,1153,1153,0,0,0,31,69,0
2022,Altona North,VIC,3025,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1066,75,12,28,34,26,176,167.7,72,58.3,2271,699,1572,0,0,38,62,0
2022,Armstrong Creek,VIC,3217,Government,Secondary,School Single Entity,07-Dec,Major Cities,1022,57,25,33,26,15,82,72.9,32,25,892,380,512,2,18,9,91,1
2022,Ashwood,VIC,3147,Government,Secondary,School Single Entity,07-Dec,Major Cities,1087,81,12,20,30,37,57,51.5,27,22.9,715,319,396,1,7,39,60,1
2022,Bacchus Marsh,VIC,3340,Government,Secondary,School Single Entity,07-Dec,Major Cities,966,31,48,32,14,6,79,73.2,36,26.2,984,454,530,4,39,10,90,0
2022,Balwyn North,VIC,3104,Government,Secondary,School Single Entity,07-Dec,Major Cities,1142,94,3,9,30,58,196,172,50,37.3,2183,952,1231,0,0,74,26,1
2022,Bayswater,VIC,3153,Government,Secondary,School Single Entity,07-Dec,Major Cities,952,26,51,27,17,5,23,21.2,10,7.8,174,72,102,4,7,7,92,1
2022,Beaconsfield,VIC,3807,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1042,66,18,33,32,17,293,272.3,199,174.4,3278,1589,1689,0,0,30,70,0
2022,Beaumaris,VIC,3193,Government,Secondary,School Single Entity,07-Nov,Major Cities,1110,87,5,19,32,44,76,70.5,23,17.3,836,348,488,0,0,15,85,1
2022,Belgrave,VIC,3160,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1085,80,8,24,36,31,65,53.7,27,22.4,684,684,0,1,7,14,86,0
2022,Belmont,VIC,3216,Government,Secondary,School Head Campus,07-Dec,Major Cities,1042,66,18,30,32,20,126,106.1,48,33.6,1284,553,731,1,13,12,88,0
2022,Bentleigh,VIC,3204,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1097,83,5,20,39,37,65,60.7,34,24.6,728,728,0,0,0,24,76,0
2022,Bentleigh East,VIC,3165,Government,Secondary,School Single Entity,07-Dec,Major Cities,1075,77,12,27,31,30,95,83.1,25,20,931,412,519,1,9,32,67,0
2022,Berwick,VIC,3807,Government,Secondary,School Single Entity,Sept-13,Major Cities,1062,70,18,26,28,28,120,107,53,40,1434,669,765,1,14,50,50,1
2022,Blackburn,VIC,3130,Government,Secondary,School Single Entity,07-Dec,Major Cities,1092,82,9,21,34,37,102,95.2,44,30.9,1283,557,726,0,0,34,65,1
2022,Box Hill,VIC,3129,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1112,87,5,16,34,45,101,88,35,29,1171,757,414,0,0,32,68,0
2022,Braybrook,VIC,3019,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1022,57,26,31,29,15,106,101.3,63,53,1452,633,819,0,0,41,59,0
2022,Braybrook,VIC,3019,Government,Secondary,School Single Entity,07-Dec,Major Cities,960,29,50,27,16,7,142,121.1,59,33.2,1365,654,711,1,14,85,15,0
2022,Brighton,VIC,3186,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1125,90,3,13,34,50,113,101.9,34,29.9,1194,1194,0,0,0,4,96,0
2022,Brighton East,VIC,3187,Government,Secondary,School Single Entity,07-Dec,Major Cities,1119,89,6,14,32,48,101,85.9,34,25.2,1043,430,613,0,0,33,65,2
2022,Broadmeadows,VIC,3048,Government,Secondary,School Head Campus,Jul-13,Major Cities,935,24,56,23,14,7,152,134,80,64,1327,570,757,1,13,63,37,0
2022,Brunswick,VIC,3057,Government,Secondary,School Single Entity,Jul-13,Major Cities,1072,73,20,18,24,38,67,56,26,20,565,272,293,3,17,22,78,1
2022,Bulleen,VIC,3105,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1107,86,4,20,35,41,122,116,54,46.4,1328,0,1328,0,0,3,97,0
2022,Bundoora,VIC,3084,Catholic,Secondary,School Head Campus,Jul-13,Major Cities,1045,65,19,28,29,24,111,102,57,44,1161,92,1069,1,12,23,77,0
2022,Burwood East,VIC,3151,Government,Secondary,School Head Campus,07-Dec,Major Cities,1034,62,26,24,27,23,51,48.2,26,19.3,526,212,314,2,11,30,68,2
2022,Camberwell,VIC,3124,Independent,Secondary,School Head Campus,Nov-13,Major Cities,1086,76,12,23,28,37,61,56,56,34,713,499,214,2,14,10,90,0
2022,Canterbury,VIC,3127,Government,Secondary,School Single Entity,Jul-13,Major Cities,1129,91,4,13,31,52,83,70,32,23,930,578,352,0,0,32,55,13
2022,Caroline Springs,VIC,3024,Government,Secondary,School Single Entity,Oct-13,Major Cities,1023,56,25,34,28,13,73,67,42,30,984,497,487,0,0,43,56,1
2022,Carrum Downs,VIC,3201,Government,Secondary,School Single Entity,07-Dec,Major Cities,968,32,47,33,16,4,69,63.5,38,31.4,869,401,468,2,17,21,79,1
2022,Caulfield East,VIC,3145,Government,Secondary,School Head Campus,07-Dec,Major Cities,1115,88,6,17,30,47,71,64.8,33,26.3,855,395,460,0,0,51,48,0
2022,Caulfield North,VIC,3161,Government,Secondary,School Head Campus,07-Dec,Major Cities,960,28,49,27,15,9,40,33.9,22,18.4,440,231,209,7,31,8,91,1
2022,Chadstone,VIC,3148,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1083,80,8,23,37,32,91,86.5,53,44.9,1104,0,1104,0,0,50,50,0
2022,Charlemont,VIC,3217,Catholic,Secondary,School Single Entity,07-Sept,Major Cities,1078,78,7,31,36,26,41,39.2,32,22.9,557,251,306,1,6,3,97,0
2022,Cheltenham,VIC,3192,Government,Secondary,School Single Entity,07-Dec,Major Cities,1052,69,15,32,33,21,86,72.4,32,22.2,883,356,527,1,9,44,55,1
2022,Clayton,VIC,3168,Government,Secondary,School Single Entity,10-Dec,Major Cities,1116,89,6,14,31,50,64,57.6,77,32.3,656,314,342,0,0,73,27,0
2022,Clayton South,VIC,3169,Government,Secondary,School Head Campus,07-Dec,Major Cities,966,31,46,25,19,10,56,52.5,32,20.4,595,288,307,1,6,83,15,1
