Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2022,45868,40899,899,Our Lady of the Sacred Heart College,Bentleigh,VIC,3204,Catholic,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,1097,83,5,20,39,37,65,60.7,34,24.6,728,728,0,728,0,24,76,0
2022,45359,48381,8381,Box Hill High School,Box Hill,VIC,3128,Government,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,1127,91,5,14,29,52,119,103.4,30,23.4,1393,565,828,1390.7,0,59,41,0
2022,40828,68200,28200,John Monash Science School,Clayton,VIC,3168,Government,Secondary,School Single Entity,Individual Reporting,10-12,Major Cities,1116,89,6,14,31,50,64,57.6,77,32.3,656,314,342,649.8,0,73,27,0
2022,45932,41041,1041,St John's Regional College,Dandenong,VIC,3175,Catholic,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,995,44,36,34,24,6,63,58.6,33,29,612,282,330,612,0,34,66,0
2022,45704,40739,739,Academy of Mary Immaculate,Fitzroy,VIC,3065,Catholic,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,1079,79,13,18,35,35,66,54.2,30,23.7,679,679,0,679,0,35,65,0
2022,45361,48905,8905,Brentwood Secondary College,Glen Waverley,VIC,3150,Government,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,1087,81,11,22,32,36,134,122.1,40,29.5,1637,776,861,1636.5,0,58,42,0
2022,40430,46242,6242,Swinburne Senior Secondary College,Hawthorn,VIC,3122,Government,Secondary,School Head Campus,Rolled Reporting,11-12,Major Cities,1094,83,7,19,35,39,43,36.5,18,11.4,396,257,139,373.5,1,14,86,0
2022,45335,48506,8506,Lilydale Heights College,Lilydale,VIC,3140,Government,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,990,42,38,35,21,6,66,58.9,38,25.6,754,374,380,753.5,2,5,95,1
2022,45425,46629,6629,Mentone Girls Secondary College,Mentone,VIC,3194,Government,Secondary,School Single Entity,Individual Reporting,7-12,Major Cities,1086,81,7,26,35,32,89,79.3,36,23.4,1038,1038,0,1036.3,0,26,73,1
2022,45423,48508,8508,Melbourne High School,South Yarra,VIC,3141,Government,Secondary,School Head Campus,Rolled Reporting,9-12,Major Cities,1166,97,4,7,25,64,116,97.3,52,29.3,1369,0,1369,1368.3,0,87,12,0
